iter	Logloss
0	0.6917654195
1	0.6901618222
2	0.6889379398
3	0.6875651007
4	0.6860908141
5	0.6845850663
6	0.6831636325
7	0.6823579274
8	0.6810503767
9	0.6796494005
10	0.678476097
11	0.6772856474
12	0.6762366851
13	0.6751696964
14	0.6742526702
15	0.6733537049
16	0.6722873443
17	0.6713744342
18	0.6704283908
19	0.6693565123
20	0.6682362342
21	0.6674414138
22	0.6663927907
23	0.665675862
24	0.6648050434
25	0.6637381077
26	0.6629663306
27	0.6620379143
28	0.6612755294
29	0.6604989996
30	0.6595698525
31	0.6587427925
32	0.6580027864
33	0.6571876453
34	0.6561974138
35	0.6553315252
36	0.6545421693
37	0.6537414295
38	0.6528983565
39	0.6519084904
40	0.6510955322
41	0.6503358083
42	0.6497271383
43	0.649068369
44	0.6484091854
45	0.6476632085
46	0.6469677524
47	0.6460944509
48	0.6452510097
49	0.6445835327
50	0.6438717086
51	0.6429308371
52	0.64217197
53	0.6415306852
54	0.6407279383
55	0.6399635828
56	0.6393836106
57	0.6387071597
58	0.6377859182
59	0.6371365827
60	0.6365219765
61	0.6357949456
62	0.6352041026
63	0.6342221763
64	0.6333324789
65	0.6328071843
66	0.6319708114
67	0.6313310183
68	0.6306619127
69	0.6300570921
70	0.6294793834
71	0.6286985277
72	0.6279946993
73	0.6272457418
74	0.6266013909
75	0.6261078024
76	0.6255659222
77	0.6248892076
78	0.6239720538
79	0.6235493067
80	0.6228838766
81	0.6222266946
82	0.6215852959
83	0.6209228645
84	0.6203801505
85	0.6197655728
86	0.6190386765
87	0.6184004728
88	0.6178954165
89	0.6172037632
90	0.6166263887
91	0.6159023861
92	0.6153779984
93	0.6147781225
94	0.6143377672
95	0.6137467134
96	0.6132736779
97	0.612641461
98	0.6119913981
99	0.6113953931
100	0.6107676368
101	0.6101421086
102	0.6094117525
103	0.6088367051
104	0.6083650175
105	0.6078309307
106	0.6073319771
107	0.6068551217
108	0.6062414102
109	0.6056733873
110	0.6051933784
111	0.6045935081
112	0.6039652224
113	0.6033957146
114	0.602921615
115	0.6024810111
116	0.601937808
117	0.6013486343
118	0.6009509996
119	0.600175865
120	0.5997106607
121	0.5991908207
122	0.598623991
123	0.5979862836
124	0.5974201738
125	0.5969520589
126	0.5964947131
127	0.5961004165
128	0.5956515641
129	0.5950746058
130	0.5944666584
131	0.5939681176
132	0.5935050856
133	0.5929468822
134	0.5923497531
135	0.5917242688
136	0.5914124058
137	0.5908868712
138	0.5904025811
139	0.5898756056
140	0.5892573022
141	0.5887232122
142	0.5880892515
143	0.5875884434
144	0.5870356377
145	0.586563081
146	0.5861446506
147	0.5855453383
148	0.5849212776
149	0.5844667494
150	0.5838502651
151	0.5834153455
152	0.5828627685
153	0.5822003744
154	0.5817918624
155	0.5812844095
156	0.5806998868
157	0.580336853
158	0.5797831962
159	0.5792065357
160	0.5787975776
161	0.5782749205
162	0.5777334704
163	0.5772910553
164	0.5766901355
165	0.5761215893
166	0.5755997262
167	0.5750801246
168	0.574692767
169	0.574294545
170	0.5737111714
171	0.5731733379
172	0.572676104
173	0.5721824107
174	0.5717540605
175	0.5712304235
176	0.5708598211
177	0.5703682745
178	0.5698812623
179	0.5693940985
180	0.5688568057
181	0.5683884844
182	0.5678136522
183	0.5673912033
184	0.5669716708
185	0.5665798651
186	0.5662091129
187	0.5657771701
188	0.5655206642
189	0.5651350686
190	0.564563766
191	0.5639622229
192	0.5636189359
193	0.563074327
194	0.5625920773
195	0.562203679
196	0.5618079599
197	0.5612943299
198	0.5607551439
199	0.5603254583
200	0.5600050046
201	0.5595479716
202	0.5590105687
203	0.5585263706
204	0.557948603
205	0.557443452
206	0.5569422432
207	0.5564461462
208	0.5559982387
209	0.5554772258
210	0.555009482
211	0.5545832594
212	0.5541460482
213	0.5535976711
214	0.5533238165
215	0.5530513401
216	0.5527279287
217	0.5522530537
218	0.5518453809
219	0.5513586833
220	0.5508953218
221	0.5504965157
222	0.5500733013
223	0.5497284279
224	0.5492954225
225	0.5488839652
226	0.5485598993
227	0.548330559
228	0.5478015724
229	0.547320928
230	0.5469723358
231	0.546387362
232	0.5460548647
233	0.5455634746
234	0.5449743421
235	0.5444383817
236	0.5438642201
237	0.5434944787
238	0.5431805363
239	0.5428565713
240	0.5425355154
241	0.5420345617
242	0.5416601581
243	0.5411695037
244	0.5406800244
245	0.5402774873
246	0.539850502
247	0.5393198035
248	0.5389301391
249	0.5384220038
250	0.5380566324
251	0.5377480317
252	0.5372631683
253	0.5369378157
254	0.5365629562
255	0.5360324844
256	0.5357248992
257	0.5352575145
258	0.5347803685
259	0.5344462253
260	0.5340812232
261	0.5335315428
262	0.5331084689
263	0.5327560842
264	0.5322974613
265	0.5319036103
266	0.5313606946
267	0.5308752292
268	0.5304990713
269	0.5300398605
270	0.5296990347
271	0.5293049055
272	0.5288445358
273	0.5284390042
274	0.5281443112
275	0.5277061959
276	0.5272705809
277	0.5267260552
278	0.526445658
279	0.5260855934
280	0.5256187648
281	0.5251081128
282	0.5247842882
283	0.5243765462
284	0.5240649046
285	0.5235590457
286	0.5232256298
287	0.5226895146
288	0.5223024157
289	0.521711048
290	0.5213288187
291	0.5210816546
292	0.5205980323
293	0.5201593859
294	0.5198932821
295	0.5194276947
296	0.5190020859
297	0.518628181
298	0.5182140477
299	0.5177377998
300	0.5173099369
301	0.516862502
302	0.5164234988
303	0.5159803138
304	0.5156458603
305	0.5153628937
306	0.514991149
307	0.5145179875
308	0.5141598308
309	0.5135908874
310	0.5132491042
311	0.5128611509
312	0.5126314336
313	0.5121220526
314	0.5116765484
315	0.5110975253
316	0.5106151945
317	0.5103096463
318	0.5098775696
319	0.5094584108
320	0.5088704586
321	0.5083811556
322	0.5077508348
323	0.5073422805
324	0.5069779084
325	0.5065597015
326	0.5060503892
327	0.5055441225
328	0.5051031893
329	0.5046808783
330	0.5042176483
331	0.503672159
332	0.5031846875
333	0.5025702804
334	0.5020491432
335	0.5014335627
336	0.5008779239
337	0.5005539719
338	0.5002263656
339	0.4997118439
340	0.4991106948
341	0.4986120193
342	0.4980297097
343	0.497626563
344	0.4971974607
345	0.496729469
346	0.4962308032
347	0.4959013373
348	0.4955168817
349	0.4951148999
350	0.4947507218
351	0.4943204193
352	0.4937775944
353	0.4933977506
354	0.4929065314
355	0.4925222641
356	0.4920248208
357	0.4915775343
358	0.4909953909
359	0.4905184716
360	0.4900495798
361	0.4897653929
362	0.4892817932
363	0.4888557245
364	0.4884942433
365	0.4880536206
366	0.4873606147
367	0.486895891
368	0.4865399366
369	0.4860577912
370	0.4853743078
371	0.484856523
372	0.4843676032
373	0.4837449599
374	0.4832559496
375	0.4828161883
376	0.4822299398
377	0.4815407432
378	0.4808943989
379	0.4803876272
380	0.4797313044
381	0.4791437691
382	0.4785843814
383	0.4780984465
384	0.4777408783
385	0.4773795724
386	0.4768925055
387	0.4765406594
388	0.4759928368
389	0.4755593074
390	0.4751304085
391	0.4746537603
392	0.4741658351
393	0.4737227971
394	0.4732309813
395	0.4726380293
396	0.4720622251
397	0.471556297
398	0.4709235973
399	0.4704619289
400	0.4699428909
401	0.4694154699
402	0.4690671537
403	0.4685674471
404	0.4681469894
405	0.4678092046
406	0.4672492615
407	0.4667839323
408	0.4661082356
409	0.4656502052
410	0.4651752634
411	0.4647575088
412	0.4643737573
413	0.4638430895
414	0.4633727767
415	0.4629628848
416	0.4625647699
417	0.4621715336
418	0.4617420015
419	0.4612755596
420	0.4609298179
421	0.4602677448
422	0.4596611256
423	0.4591412075
424	0.4587368321
425	0.4582275455
426	0.4579173422
427	0.4574058733
428	0.4568817978
429	0.4563437776
430	0.4557901015
431	0.4553719979
432	0.4547304314
433	0.4542571318
434	0.4537033745
435	0.4531316614
436	0.452700897
437	0.4524150895
438	0.4519304354
439	0.4516353754
440	0.4513189559
441	0.4508004602
442	0.4503140775
443	0.4497918526
444	0.4492260076
445	0.4486842643
446	0.4481292381
447	0.4477073318
448	0.4474033704
449	0.4469000426
450	0.4465637926
451	0.4461285749
452	0.4456336337
453	0.4450866796
454	0.4446207217
455	0.4443086882
456	0.4438868031
457	0.4434150337
458	0.4429060369
459	0.4424894328
460	0.4418483432
461	0.4413727104
462	0.4408054657
463	0.4404071904
464	0.4399008402
465	0.439549388
466	0.439086598
467	0.4384935673
468	0.4378539165
469	0.4374254217
470	0.4370242867
471	0.4365937891
472	0.436161429
473	0.4355948481
474	0.4350722637
475	0.4346434221
476	0.4341169662
477	0.4336497806
478	0.4332812735
479	0.4327122705
480	0.4322919087
481	0.4318095712
482	0.4313331361
483	0.4308248242
484	0.4304476729
485	0.4299772355
486	0.4296925934
487	0.4293299712
488	0.4287786483
489	0.4284326332
490	0.4279532296
491	0.4273744365
492	0.4268635048
493	0.4264007384
494	0.4259846508
495	0.4256287377
496	0.4253376118
497	0.4248855743
498	0.4243911508
499	0.4238679156
500	0.4234487326
501	0.4230584972
502	0.4225011943
503	0.4221047448
504	0.4216254375
505	0.421274061
506	0.4208581062
507	0.4204485234
508	0.4201048467
509	0.4195713796
510	0.4191847002
511	0.418676632
512	0.4181444899
513	0.4176445847
514	0.4172003151
515	0.4167066703
516	0.4161828449
517	0.4156800356
518	0.4152153944
519	0.4147804124
520	0.4144254572
521	0.414038743
522	0.4134785143
523	0.4131453954
524	0.4126934912
525	0.4122975084
526	0.4117878086
527	0.4113748479
528	0.4109924698
529	0.4106138886
530	0.4101594059
531	0.4096774753
532	0.4092443335
533	0.4088385884
534	0.40845025
535	0.407878539
536	0.4075828383
537	0.407043148
538	0.4067175901
539	0.406232264
540	0.4059209829
541	0.4055906166
542	0.4050814277
543	0.404528192
544	0.4040823801
545	0.4036581557
546	0.4032818043
547	0.4028230425
548	0.4024076865
