iter	Passed	Remaining
0	73	73171
1	145	72546
2	204	67863
3	272	67900
4	368	73332
5	578	95763
6	649	92168
7	708	87793
8	763	84068
9	828	82036
10	984	88524
11	1128	92879
12	1253	95187
13	1358	95643
14	1421	93363
15	1493	91825
16	1562	90368
17	1626	88708
18	1762	91021
19	1988	97412
20	2140	99807
21	2199	97780
22	2256	95844
23	2315	94155
24	2377	92723
25	2440	91435
26	2502	90197
27	2594	90078
28	2662	89155
29	2728	88217
30	2794	87343
31	2859	86501
32	2948	86402
33	3061	86987
34	3233	89150
35	3283	87933
36	3387	88173
37	3439	87085
38	3506	86412
39	3575	85802
40	3608	84415
41	3659	83465
42	3718	82768
43	3761	81720
44	3841	81525
45	3871	80281
46	3899	79059
47	3939	78125
48	4014	77908
49	4068	77299
50	4096	76224
51	4124	75189
52	4152	74193
53	4180	73234
54	4210	72339
55	4237	71430
56	4271	70659
57	4303	69889
58	4331	69081
59	4365	68385
60	4427	68149
61	4483	67838
62	4554	67732
63	4617	67526
64	4646	66843
65	4675	66163
66	4706	65546
67	4790	65656
68	4843	65358
69	4871	64720
70	4898	64089
71	4926	63492
72	4953	62908
73	4981	62338
74	5009	61789
75	5042	61306
76	5109	61242
77	5136	60715
78	5165	60216
79	5191	59704
80	5219	59222
81	5249	58771
82	5278	58314
83	5306	57866
84	5343	57523
85	5426	57674
86	5494	57657
87	5570	57729
88	5628	57612
89	5678	57412
90	5706	57003
91	5735	56607
92	5785	56423
93	5861	56490
94	5912	56319
95	5950	56030
96	5991	55773
97	6032	55522
98	6060	55152
99	6124	55124
100	6194	55135
101	6223	54791
102	6251	54442
103	6284	54140
104	6323	53897
105	6349	53552
106	6376	53218
107	6404	52893
108	6431	52572
109	6460	52267
110	6516	52193
111	6577	52153
112	6625	52010
113	6682	51939
114	6752	51965
115	6796	51791
116	6830	51549
117	6895	51542
118	6962	51545
119	7038	51615
120	7132	51811
121	7174	51634
122	7214	51440
123	7243	51171
124	7291	51042
125	7357	51033
126	7417	50990
127	7460	50827
128	7547	50957
129	7618	50983
130	7684	50974
131	7743	50917
132	7786	50760
133	7814	50503
134	7844	50260
135	7871	50008
136	7899	49758
137	7927	49516
138	7953	49268
139	8007	49187
140	8074	49188
141	8129	49119
142	8160	48908
143	8190	48685
144	8220	48472
145	8249	48254
146	8278	48036
147	8308	47832
148	8337	47617
149	8368	47423
150	8400	47231
151	8433	47051
152	8473	46906
153	8505	46723
154	8537	46541
155	8572	46380
156	8604	46201
157	8635	46019
158	8682	45924
159	8711	45734
160	8739	45541
161	8786	45449
162	8878	45592
163	8918	45462
164	8950	45292
165	8983	45136
166	9017	44980
167	9049	44816
168	9080	44651
169	9112	44489
170	9142	44321
171	9174	44167
172	9206	44007
173	9251	43917
174	9283	43764
175	9311	43595
176	9340	43431
177	9375	43295
178	9405	43137
179	9434	42977
180	9461	42810
181	9489	42648
182	9517	42490
183	9544	42328
184	9592	42260
185	9622	42111
186	9650	41956
187	9685	41835
188	9723	41721
189	9758	41600
190	9795	41489
191	9828	41359
192	9858	41220
193	9887	41078
194	9915	40932
195	9943	40789
196	9974	40656
197	10003	40520
198	10043	40427
199	10072	40288
200	10100	40151
201	10128	40014
202	10156	39876
203	10187	39751
204	10284	39884
205	10392	40057
206	10434	39974
207	10473	39879
208	10564	39981
209	10613	39927
210	10682	39944
211	10735	39904
212	10781	39836
213	10811	39708
214	10841	39583
215	10868	39450
216	10905	39350
217	10988	39416
218	11053	39419
219	11116	39414
220	11150	39305
